timestamp,noise_db,status,event
2026-09-24 21:00:20,41.7,QUIET,Status changed
2026-09-24 21:00:20,54.5,MODERATE,Status changed
2026-09-24 21:00:21,38.7,QUIET,Status changed
2026-09-24 21:00:21,56.9,MODERATE,Status changed
2026-09-24 21:00:21,40.0,QUIET,Status changed
2026-09-24 21:00:22,46.9,MODERATE,Status changed
2026-09-24 21:00:22,44.9,QUIET,Status changed
2026-09-24 21:00:22,49.4,MODERATE,Status changed
2026-09-24 21:00:22,27.1,QUIET,Status changed
2026-09-24 21:00:23,45.2,MODERATE,Status changed
2026-09-24 21:00:23,14.8,QUIET,Status changed
2026-09-24 21:00:23,50.2,MODERATE,Status changed
2026-09-24 21:00:23,41.5,QUIET,Status changed
2026-09-24 21:00:24,55.7,MODERATE,Status changed
2026-09-24 21:00:25,38.5,QUIET,Status changed
2026-09-24 21:00:25,57.3,MODERATE,Status changed
2026-09-24 21:00:26,61.5,NOISY,Status changed
2026-09-24 21:00:26,55.5,MODERATE,Status changed
2026-09-24 21:00:26,37.7,QUIET,Status changed
2026-09-24 21:00:26,52.0,MODERATE,Status changed
2026-09-24 21:00:27,61.1,NOISY,Status changed
2026-09-24 21:00:27,52.1,MODERATE,Status changed
2026-09-24 21:00:27,35.9,QUIET,Status changed
2026-09-24 21:00:28,49.0,MODERATE,Status changed
2026-09-24 21:00:28,65.6,NOISY,Status changed
2026-09-24 21:00:28,56.5,MODERATE,Status changed
2026-09-24 21:00:28,65.8,NOISY,Status changed
2026-09-24 21:00:28,54.7,MODERATE,Status changed
2026-09-24 21:00:29,32.5,QUIET,Status changed
2026-09-24 21:00:29,46.3,MODERATE,Status changed
2026-09-24 21:00:29,39.9,QUIET,Status changed
2026-09-24 21:00:31,45.6,MODERATE,Status changed
2026-09-24 21:00:31,34.8,QUIET,Status changed
2026-09-24 21:00:32,47.8,MODERATE,Status changed
2026-09-24 21:00:33,38.4,QUIET,Status changed
2026-09-24 21:00:33,60.6,NOISY,Status changed
2026-09-24 21:00:33,48.2,MODERATE,Status changed
2026-09-24 21:00:33,32.7,QUIET,Status changed
2026-09-24 21:00:33,56.3,MODERATE,Status changed
2026-09-24 21:00:33,42.5,QUIET,Status changed
2026-09-24 21:00:34,48.9,MODERATE,Status changed
2026-09-24 21:00:34,39.9,QUIET,Status changed
2026-09-24 21:00:34,53.9,MODERATE,Status changed
2026-09-24 21:00:35,43.0,QUIET,Status changed
2026-09-24 21:00:35,56.5,MODERATE,Status changed
2026-09-24 21:00:35,39.3,QUIET,Status changed
2026-09-24 21:00:35,55.5,MODERATE,Status changed
2026-09-24 21:00:35,39.6,QUIET,Status changed
2026-09-24 21:00:36,48.3,MODERATE,Status changed
2026-09-24 21:00:36,44.9,QUIET,Status changed
2026-09-24 21:00:36,46.2,MODERATE,Status changed
2026-09-24 21:00:36,44.2,QUIET,Status changed
2026-09-24 21:00:36,46.2,MODERATE,Status changed
2026-09-24 21:00:36,40.7,QUIET,Status changed
2026-09-24 21:00:37,45.7,MODERATE,Status changed
2026-09-24 21:00:37,36.0,QUIET,Status changed
2026-09-24 21:00:37,47.3,MODERATE,Status changed
2026-09-24 21:00:38,43.5,QUIET,Status changed
2026-09-24 21:00:38,56.0,MODERATE,Status changed
2026-09-24 21:00:38,42.8,QUIET,Status changed
2026-09-24 21:00:38,58.5,MODERATE,Status changed
2026-09-24 21:00:38,43.0,QUIET,Status changed
2026-09-24 21:00:38,53.3,MODERATE,Status changed
2026-09-24 21:00:39,44.7,QUIET,Status changed
2026-09-24 21:00:39,53.9,MODERATE,Status changed
2026-09-24 21:00:39,37.3,QUIET,Status changed
2026-09-24 21:00:39,47.5,MODERATE,Status changed
2026-09-24 21:00:39,41.3,QUIET,Status changed
2026-09-24 21:00:40,45.3,MODERATE,Status changed
2026-09-24 21:00:40,41.1,QUIET,Status changed
2026-09-24 21:00:48,51.3,MODERATE,Status changed
2026-09-24 21:00:48,32.4,QUIET,Status changed
2026-09-24 21:00:50,60.6,NOISY,Status changed
2026-09-24 21:00:51,49.8,MODERATE,Status changed
2026-09-24 21:00:51,18.1,QUIET,Status changed
2026-09-24 21:00:55,49.7,MODERATE,Status changed
2026-09-24 21:00:55,22.2,QUIET,Status changed
2026-09-24 21:00:55,50.0,MODERATE,Status changed
2026-09-24 21:00:55,30.0,QUIET,Status changed
2026-09-24 21:01:02,46.7,MODERATE,Status changed
2026-09-24 21:01:02,38.2,QUIET,Status changed
2026-09-24 21:01:04,65.4,NOISY,Status changed
2026-09-24 21:01:04,56.7,MODERATE,Status changed
2026-09-24 21:01:04,31.8,QUIET,Status changed
2026-09-24 21:01:11,59.9,MODERATE,Status changed
2026-09-24 21:01:11,66.9,NOISY,Status changed
2026-09-24 21:01:11,43.4,QUIET,Status changed
2026-09-24 21:01:12,45.5,MODERATE,Status changed
2026-09-24 21:01:12,40.2,QUIET,Status changed
2026-09-24 21:01:12,45.1,MODERATE,Status changed
2026-09-24 21:01:12,32.1,QUIET,Status changed
2026-09-24 21:01:12,56.7,MODERATE,Status changed
2026-09-24 21:01:13,38.5,QUIET,Status changed
2026-09-24 21:01:13,46.0,MODERATE,Status changed
2026-09-24 21:01:13,41.8,QUIET,Status changed
2026-09-24 21:01:15,45.7,MODERATE,Status changed
2026-09-24 21:01:15,37.9,QUIET,Status changed
2026-09-24 21:01:15,45.5,MODERATE,Status changed
2026-09-24 21:01:15,19.1,QUIET,Status changed
2026-09-24 21:01:16,46.7,MODERATE,Status changed
2026-09-24 21:01:16,28.7,QUIET,Status changed
2026-09-24 21:01:17,51.5,MODERATE,Status changed
2026-09-24 21:01:17,33.6,QUIET,Status changed
2026-09-24 21:01:17,50.8,MODERATE,Status changed
2026-09-24 21:01:18,43.1,QUIET,Status changed
2026-09-24 21:01:18,45.4,MODERATE,Status changed
2026-09-24 21:01:18,43.1,QUIET,Status changed
2026-09-24 21:01:18,53.7,MODERATE,Status changed
2026-09-24 21:01:18,44.3,QUIET,Status changed
2026-09-24 21:01:21,48.7,MODERATE,Status changed
2026-09-24 21:01:23,41.3,QUIET,Status changed
2026-09-24 21:01:23,54.0,MODERATE,Status changed
2026-09-24 21:01:23,39.6,QUIET,Status changed
2026-09-24 21:01:23,54.7,MODERATE,Status changed
2026-09-24 21:01:23,41.0,QUIET,Status changed
2026-09-24 21:01:24,47.0,MODERATE,Status changed
2026-09-24 21:01:24,32.2,QUIET,Status changed
2026-09-24 21:01:25,48.0,MODERATE,Status changed
2026-09-24 21:01:25,43.6,QUIET,Status changed
2026-09-24 21:01:25,45.7,MODERATE,Status changed
2026-09-24 21:01:25,44.5,QUIET,Status changed
2026-09-24 21:01:26,50.2,MODERATE,Status changed
2026-09-24 21:01:26,36.7,QUIET,Status changed
2026-09-24 21:01:27,55.4,MODERATE,Status changed
2026-09-24 21:01:27,42.1,QUIET,Status changed
2026-09-24 21:01:27,54.5,MODERATE,Status changed
2026-09-24 21:01:27,41.4,QUIET,Status changed
2026-09-24 21:01:27,48.6,MODERATE,Status changed
2026-09-24 21:01:27,39.9,QUIET,Status changed
2026-09-24 21:01:27,50.2,MODERATE,Status changed
2026-09-24 21:01:27,42.8,QUIET,Status changed
2026-09-24 21:01:29,53.1,MODERATE,Status changed
2026-09-24 21:01:29,40.7,QUIET,Status changed
2026-09-24 21:01:29,48.5,MODERATE,Status changed
2026-09-24 21:01:29,39.1,QUIET,Status changed
2026-09-24 21:01:31,48.4,MODERATE,Status changed
2026-09-24 21:01:31,41.1,QUIET,Status changed
2026-09-24 21:01:31,49.3,MODERATE,Status changed
2026-09-24 21:01:32,36.0,QUIET,Status changed
2026-09-24 21:01:32,46.4,MODERATE,Status changed
2026-09-24 21:01:33,43.3,QUIET,Status changed
2026-09-24 21:01:33,49.3,MODERATE,Status changed
2026-09-24 21:01:33,31.8,QUIET,Status changed
2026-09-24 21:01:33,50.7,MODERATE,Status changed
2026-09-24 21:01:33,26.9,QUIET,Status changed
2026-09-24 21:01:33,51.1,MODERATE,Status changed
2026-09-24 21:01:34,43.9,QUIET,Status changed
2026-09-24 21:01:34,48.9,MODERATE,Status changed
2026-09-24 21:01:34,39.5,QUIET,Status changed
2026-09-24 21:01:35,45.1,MODERATE,Status changed
